1 -  145931 Tu Hung Male 20/02/1998 5203004 Vietnam
2 -  145923 Tran Hung Male 20/02/1982 5203004 Vietnam
3 -  145921 Pham Hung Male 20/02/1985 5203004 Vietnam
4 -  145927 Nguyen Phuc Male 26/02/1995 5203004 Vietnam
5 -  145926 Nguyen Minh Male 26/02/1995 5203004 Vietnam
6 -  145925 Nguyen Khoa Male 20/02/1995 5203004 Vietnam
7 -  145928 Nguyen Lan Male 15/02/1995 5203004 Vietnam
8 -  145929 Nguyen Hong Male 20/01/1995 5203004 Vietnam
9 -  145924 Nguyen Duy Male 20/02/1993 5203004 Vietnam
10 -  145930 Nguyen Toan Male 20/02/1991 5203004 Vietnam
11 -  145932 Hoang Hung Male 20/02/1990 5203004 Vietnam
12 -  145922 Au Hung Male 20/02/1996 5203004 Vietnam
